Symbol,Name,LastSale, MarketCap ,IPOyear,Sector,industry,Summary Quote
TFSL,TFS Financial Corporation,17.91, $5.01B ,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/tfsl
TGA,TransGlobe Energy Corporation,1.52, $110.26M ,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/tga
TGEN,Tecogen Inc.,2.6025, $64.65M ,2014,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/tgen
TGLS,Tecnoglass Inc.,7.36, $330.16M ,2012,Consumer Durables,Electronic Components,https://www.nasdaq.com/symbol/tgls
TGTX,"TG Therapeutics, Inc.",7.19, $681.29M ,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/tgtx
TH,Target Hospitality Corp.,7.9, $831.34M ,2018,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/th
THBRU,"Thunder Bridge Acquisition II, Ltd.",10.08, $302.4M ,2019,Finance,Business Services,https://www.nasdaq.com/symbol/thbru
THCA,Tuscan Holdings Corp. II,9.75, n/a ,2019,Finance,Business Services,https://www.nasdaq.com/symbol/thca
THCAU,Tuscan Holdings Corp. II,10.0115, n/a ,2019,Finance,Business Services,https://www.nasdaq.com/symbol/thcau
THCAW,Tuscan Holdings Corp. II,0.7, n/a ,2019,Finance,Business Services,https://www.nasdaq.com/symbol/thcaw
THCB,Tuscan Holdings Corp.,9.849, $349.51M ,2019,Finance,Business Services,https://www.nasdaq.com/symbol/thcb
THCBU,Tuscan Holdings Corp.,10.7, n/a ,2019,Finance,Business Services,https://www.nasdaq.com/symbol/thcbu
THCBW,Tuscan Holdings Corp.,0.83, n/a ,2019,Finance,Business Services,https://www.nasdaq.com/symbol/thcbw
THFF,First Financial Corporation Indiana,41.82, $513.98M ,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/thff
THOR,"Synthorx, Inc.",16.27, $524.97M ,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/thor
THRM,Gentherm Inc,38.54, $1.27B ,n/a,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/thrm
THWWW,Target Hospitality Corp.,1.48, n/a ,2018,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/thwww
TIBR,Tiberius Acquisition Corporation,10.3, $222.09M ,2018,Finance,Business Services,https://www.nasdaq.com/symbol/tibr
TIBRU,Tiberius Acquisition Corporation,10.8, n/a ,2018,Finance,Business Services,https://www.nasdaq.com/symbol/tibru
TIBRW,Tiberius Acquisition Corporation,0.56, n/a ,2018,Finance,Business Services,https://www.nasdaq.com/symbol/tibrw
