Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
SENS,"Senseonics Holdings, Inc.",1.12,227548389.60,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/sens
TRXC,"TransEnterix, Inc.",1.04,226452084.56,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/trxc
ENX,Eaton Vance New York Municipal Bond Fund,12.32,223217382.08,n/a,2002,n/a,n/a,https://www.nasdaq.com/symbol/enx
AKG,Asanko Gold Inc.,0.97,219030475.58,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/akg
NEN,New England Realty Associates Limited Partnership,59.27,217501103.82,n/a,n/a,Consumer Services,Building operators,https://www.nasdaq.com/symbol/nen
PFNX,Pfenex Inc.,6.81,215179601.52,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/pfnx
AXU,Alexco Resource Corp,1.8,210590226.00,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/axu
GORO,Gold Resource Corporation,3.2,209872867.20,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/goro
EPM,"Evolution Petroleum Corporation, Inc.",6.06,201111189.90,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/epm
RIF,RMR Real Estate Income Fund,19.49,198837155.41,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/rif
BGSF,BG Staffing Inc,19.42,198758223.56,n/a,n/a,Technology,Professional Services,https://www.nasdaq.com/symbol/bgsf
PTN,"Palatin Technologies, Inc.",0.9099,196134606.40,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ptn
CRMD,CorMedix Inc.,8.2,195276923.80,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/crmd
DMF,BNY Mellon Municipal Income Inc.,8.91,184849363.71,n/a,1988,n/a,n/a,https://www.nasdaq.com/symbol/dmf
CIX,CompX International Inc.,14.78,183908382.46,n/a,1998,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cix
EVBN,"Evans Bancorp, Inc.",35.5,174648711.00,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/evbn
VNRX,VolitionRX Limited,3.88,172584953.04,n/a,2015,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/vnrx
UEC,Uranium Energy Corp.,0.9361,169138784.79,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/uec
CIK,"Credit Suisse Asset Management Income Fund, Inc.",3.16,165283575.64,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cik
PLYM,"Plymouth Industrial REIT, Inc.",18.58,162663849.56,n/a,2017,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/plym
DLA,"Delta Apparel, Inc.",23.3,161269016.10,n/a,n/a,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/dla
UUUU,Energy Fuels Inc,1.65,158133605.85,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/uuuu
VMM,"Delaware Investments Minnesota Municipal Income Fund II, Inc.",13.28,152786068.00,n/a,1993,n/a,n/a,https://www.nasdaq.com/symbol/vmm
LCTX,"Lineage Cell Therapeutics, Inc.",1.02,152635718.22,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/lctx
ECF,Ellsworth Growth and Income Fund Ltd.,10.95,142603678.65,n/a,1986,n/a,n/a,https://www.nasdaq.com/symbol/ecf
REI,"Ring Energy, Inc.",2.08,141047110.88,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/rei
ELLO,Ellomay Capital Ltd.,13.2,140964040.80,n/a,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/ello
AE,"Adams Resources & Energy, Inc.",32.79,138819317.73,n/a,n/a,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/ae
YCBD,"cbdMD, Inc.",4.98,138047372.88,n/a,2017,Consumer Non-Durables,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/ycbd
AUG,Auryn Resources Inc.,1.41,134189559.00,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aug
GLQ,Clough Global Equity Fund,12.04,132749319.64,n/a,2005,n/a,n/a,https://www.nasdaq.com/symbol/glq
CDOR,"Condor Hospitality Trust, Inc.",11,131075494.00,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/cdor
TRX,Tanzanian Gold Corporation,0.8906,127575091.55,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/trx
GDP,Goodrich Petroleum Corporation,10.26,126236146.68,n/a,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/gdp
BCV,Bancroft Fund Limited,23.93,125758252.15,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bcv
ERH,Wells Fargo Utilities and High Income Fund,13.11,121357670.58,n/a,2004,n/a,n/a,https://www.nasdaq.com/symbol/erh
HNW,Pioneer Diversified High Income Trust,14.43,120242159.70,n/a,2007,n/a,n/a,https://www.nasdaq.com/symbol/hnw
THM,International Tower Hill Mines Ltd,0.63,118171412.73,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/thm
TPHS,Trinity Place Holdings Inc.,3.7,118046217.10,n/a,n/a,Consumer Services,Building operators,https://www.nasdaq.com/symbol/tphs
OCX,OncoCyte Corporation,2.27,117978324.10,n/a,2015,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/ocx
IAF,Aberdeen Australia Equity Fund Inc,5.14,116895555.64,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/iaf
AGE,"AgeX Therapeutics, Inc.",2.97,111761100.00,n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/age
EMX,EMX Royalty Corporation,1.33,109378481.80,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/emx
SACH,Sachem Capital Corp.,5.02,108283643.94,n/a,2017,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/sach
IMH,"Impac Mortgage Holdings, Inc.",5.0255,106446909.60,n/a,1997,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/imh
TGB,Taseko Mines Limited,0.43,105863514.17,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/tgb
CHAC,Chardan Healthcare Acquisition Corp.,10.25,103140625.00,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/chac
MTNB,"Matinas Biopharma Holdings, Inc.",0.7115,101738410.98,n/a,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mtnb
BKJ,"Bancorp of New Jersey, Inc",13.49,98391972.53,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/bkj
GLU,The Gabelli Global Utility and Income Trust,18.235,97909659.61,n/a,2004,n/a,n/a,https://www.nasdaq.com/symbol/glu
LOV,"Spark Networks, Inc.",7.41,96240857.70,n/a,2017,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/lov
CEV,Eaton Vance California Municipal Income Trust,13.41,95661240.75,n/a,1999,n/a,n/a,https://www.nasdaq.com/symbol/cev
INFU,"InfuSystems Holdings, Inc.",4.7237,93070149.43,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/infu
VISI,"Volt Information Sciences, Inc.",4.34,92059333.52,n/a,n/a,Technology,Professional Services,https://www.nasdaq.com/symbol/visi
ROX,"Castle Brands, Inc.",0.5299,90232905.53,n/a,2006,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/rox
URG,Ur Energy Inc,0.555,88722468.17,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/urg
CVU,"CPI Aerostructures, Inc.",7.35,87017135.10,n/a,n/a,Capital Goods,Military/Government/Technical,https://www.nasdaq.com/symbol/cvu
VGZ,Vista Gold Corporation,0.8501,85466963.60,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/vgz
AAU,"Almaden Minerals, Ltd.",0.754,84241946.13,n/a,2015,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aau
NES,"Nuverra Environmental Solutions, Inc.",5.1,80115379.80,n/a,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/nes
NBW,Neuberger Berman California Municipal Fund Inc,13.92,77269920.00,n/a,2002,n/a,n/a,https://www.nasdaq.com/symbol/nbw
WRN,Western Copper and Gold Corporation,0.7337,76716406.43,n/a,2011,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/wrn
GLV,Clough Global Dividend and Income Fund,10.78,75529390.86,n/a,2004,n/a,n/a,https://www.nasdaq.com/symbol/glv
PED,Pedevco Corp.,1.39,74819620.35,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ped
AINC,Ashford Inc.,28.08,73397862.72,n/a,2014,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/ainc
FCO,"Aberdeen Global Income Fund, Inc.",8.41,73375475.49,n/a,1992,n/a,n/a,https://www.nasdaq.com/symbol/fco
EVY,Eaton Vance New York Municipal Income Trust,13.38,72824008.38,n/a,1999,n/a,n/a,https://www.nasdaq.com/symbol/evy
VCF,"Delaware Investments Colorado Municipal Income Fund, Inc",14.8703,71929128.13,n/a,1993,n/a,n/a,https://www.nasdaq.com/symbol/vcf
ACU,Acme United Corporation.,21,70394730.00,n/a,1988,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acu
