Symbol,Name,LastSale, MarketCap ,ADR TSO,IPOyear,Sector,Industry,Summary Quote
NEP,"NextEra Energy Partners, LP",48.85," 2,742,923,201 ",n/a,2014,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/nep
NEE,"NextEra Energy, Inc.",215.62," 103,304,091,615 ",n/a,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/nee
NEE^I,"NextEra Energy, Inc.",25.13, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nee^i
NEE^J,"NextEra Energy, Inc.",25.23, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nee^j
NEE^K,"NextEra Energy, Inc.",27.08, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nee^k
NEE^N,"NextEra Energy, Inc.",26.9462, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nee^n
NEE^R,"NextEra Energy, Inc.",68.88, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nee^r
NGL,NGL ENERGY PARTNERS LP,13.58," 1,713,771,121 ",n/a,2011,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/ngl
NGL^B,NGL ENERGY PARTNERS LP,24.96, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ngl^b
NGL^C,NGL ENERGY PARTNERS LP,25.28, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ngl^c
NMK^B,"Niagara Mohawk Holdings, Inc.",95.2101, -   ,n/a,n/a,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/nmk^b
NMK^C,"Niagara Mohawk Holdings, Inc.",95.5, -   ,n/a,n/a,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/nmk^c
NLSN,Nielsen N.V.,21.27," 7,565,176,770 ",n/a,2011,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/nlsn
NKE,"Nike, Inc.",83.32," 130,553,139,238 ",n/a,n/a,Consumer Non-Durables,Shoe Manufacturing,https://www.nasdaq.com/symbol/nke
NINE,"Nine Energy Service, Inc.",8.91," 273,602,756 ",n/a,2018,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/nine
NIO,NIO Inc.,3.15," 3,310,016,951 ",n/a,2018,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/nio
NI,"NiSource, Inc",28.71," 10,718,799,174 ",n/a,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/ni
NI^B,"NiSource, Inc",27.75, -   ,n/a,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/ni^b
NL,"NL Industries, Inc.",3.93," 191,610,035 ",n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/nl
NOAH,Noah Holdings Ltd.,29.84," 1,794,265,712 ",n/a,2010,Finance,Investment Managers,https://www.nasdaq.com/symbol/noah
NE,Noble Corporation,1.41," 351,347,317 ",n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ne
NBL,Noble Energy Inc.,22.3," 10,665,044,598 ",n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/nbl
NBLX,Noble Midstream Partners LP,26.21," 1,041,904,847 ",n/a,2016,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/nblx
NOK,Nokia Corporation,5.33," 29,841,124,300 ",n/a,1994,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/nok
NOMD,Nomad Foods Limited,20.32," 3,952,110,297 ",n/a,2016,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/nomd
NMR,Nomura Holdings Inc ADR,3.52," 11,703,251,451 ",n/a,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/nmr
OSB,Norbord Inc.,22.2," 1,813,042,543 ",n/a,n/a,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/osb
NAT,Nordic American Tankers Limited,1.85," 262,643,882 ",n/a,n/a,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/nat
JWN,"Nordstrom, Inc.",29.12," 4,503,459,222 ",n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/jwn
NSC,Norfolk Souther Corporation,177.5," 46,754,702,208 ",n/a,n/a,Transportation,Railroads,https://www.nasdaq.com/symbol/nsc
NOA,North American Construction Group Ltd.,12," 327,061,980 ",n/a,2006,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/noa
NRT,North European Oil Royality Trust,7.45," 68,469,896 ",n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/nrt
NOC,Northrop Grumman Corporation,370.66," 62,714,994,434 ",n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/noc
NRE,NorthStar Realty Europe Corp.,17.05," 857,431,627 ",n/a,2015,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/nre
NWN,Northwest Natural Holding Company,70.5," 2,146,210,350 ",n/a,n/a,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/nwn
NWE,NorthWestern Corporation,69.15," 3,488,128,748 ",n/a,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/nwe
NCLH,Norwegian Cruise Line Holdings Ltd.,50.44," 10,874,729,023 ",n/a,n/a,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/nclh
NVS,Novartis AG,91.12," 208,826,212,610 ",n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/nvs
NVO,Novo Nordisk A/S,51.86," 122,878,735,430 ",n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/nvo
DNOW,NOW Inc.,12.34," 1,342,553,709 ",n/a,2014,Energy,Metal Fabrications,https://www.nasdaq.com/symbol/dnow
NRG,"NRG Energy, Inc.",34.59," 8,750,851,081 ",n/a,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/nrg
NUS,"Nu Skin Enterprises, Inc.",40.25," 2,235,750,248 ",n/a,1996,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/nus
NUE,Nucor Corporation,50.17," 15,209,410,521 ",n/a,n/a,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/nue
NS,Nustar Energy L.P.,27.3," 2,941,946,335 ",n/a,n/a,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/ns
NS^A,Nustar Energy L.P.,24.08, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ns^a
NS^B,Nustar Energy L.P.,21.17, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ns^b
NS^C,Nustar Energy L.P.,24.7, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ns^c
NSS,"NuStar Logistics, L.P.",25.99, -   ,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nss
NTR,Nutrien Ltd.,50.21," 28,763,631,986 ",n/a,2018,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/ntr
JMLP,Nuveen All Cap Energy MLP Opportunities Fund,5.5," 74,251,216 ",n/a,2014,n/a,n/a,https://www.nasdaq.com/symbol/jmlp
NVG,Nuveen AMT-Free Municipal Credit Income Fund,16.62," 3,366,429,115 ",n/a,2002,n/a,n/a,https://www.nasdaq.com/symbol/nvg
NUV,Nuveen AMT-Free Municipal Value Fund,10.48," 2,168,054,706 ",n/a,1987,n/a,n/a,https://www.nasdaq.com/symbol/nuv
NUW,Nuveen AMT-Free Municipal Value Fund,17.65," 271,794,715 ",n/a,2009,n/a,n/a,https://www.nasdaq.com/symbol/nuw
NEA,Nuveen AMT-Free Quality Municipal Income Fund,14.35," 3,770,041,284 ",n/a,2002,n/a,n/a,https://www.nasdaq.com/symbol/nea
