day,D_encinitas,D_tepper1,D_smoombapteltd,D_dosomething,D_shinsbatch,D_speedoflight,D_hideyoshi,D_radyucsd,D_umichioeinternationalmp,D_schaefercitybulldogs,D_rotmanroxstars
42,1000.0,1800.0,2000.0,1800.0,1000.0,1800.0,2000.0,1800.0,2000.0,1000.0,2000.0
42,1000.0,900.0,0.0,900.0,1000.0,900.0,0.0,900.0,0.0,1000.0,0.0
42,-73000.0,900.0,0.0,900.0,0.0,900.0,0.0,900.0,0.0,0.0,0.0
42,3019.0,922.0,3005.0,916.0,2007.0,909.0,3019.0,13.0,2714.0,2001.0,3003.0
43,2000.0,3600.0,2000.0,3400.0,1000.0,4000.0,2000.0,4500.0,900.0,1000.0,2000.0
43,2000.0,3600.0,2000.0,3200.0,2000.0,4000.0,2000.0,3600.0,-46400.0,2000.0,2000.0
43,2000.0,1800.0,2000.0,1600.0,2000.0,4000.0,2000.0,1800.0,900.0,2000.0,3000.0
43,2010.0,2723.0,2007.0,2418.0,1008.0,2012.0,3021.0,3616.0,1807.0,3000.0,1005.0
44,3000.0,3000.0,3000.0,1345.0,1950.0,1000.0,2000.0,900.0,1752.0,2800.0,1000.0
44,2000.0,2000.0,2000.0,2018.0,1000.0,3000.0,3000.0,2700.0,2621.0,2900.0,3000.0
44,2000.0,2000.0,2000.0,747.0,4000.0,0.0,0.0,1800.0,2647.0,2700.0,0.0
44,1013.0,1927.0,1009.0,2659.0,1010.0,1014.0,1023.0,2718.0,1804.0,5.0,1007.0
45,1000.0,900.0,1000.0,3000.0,0.0,1000.0,1000.0,900.0,1796.0,1800.0,1000.0
45,3000.0,2700.0,3000.0,3000.0,2000.0,4000.0,3000.0,0.0,0.0,4900.0,3000.0
45,1000.0,900.0,1000.0,2000.0,1000.0,0.0,1000.0,3056.0,2232.0,1000.0,1000.0
45,-48986.0,1828.0,1011.0,1023.0,3012.0,1016.0,1024.0,3620.0,3607.0,1008.0,1008.0
46,1000.0,-108100.0,1000.0,1000.0,1000.0,1000.0,1000.0,1800.0,1800.0,1000.0,1000.0
46,2000.0,900.0,2000.0,2000.0,1000.0,2000.0,2000.0,900.0,900.0,2000.0,2000.0
46,3000.0,0.0,3000.0,2900.0,3000.0,4000.0,-64000.0,0.0,0.0,3000.0,3000.0
46,1003.0,2666.0,1012.0,1824.0,1013.0,2017.0,1019.0,1738.0,1726.0,1009.0,1010.0
47,2000.0,851.0,2000.0,1800.0,1000.0,0.0,2000.0,1619.0,1622.0,2000.0,2000.0
47,3000.0,2639.0,3000.0,1800.0,2000.0,4000.0,3000.0,1770.0,1811.0,1000.0,3000.0
47,2000.0,2169.0,2000.0,900.0,1000.0,1000.0,2000.0,1984.0,1442.0,3600.0,2000.0
47,1005.0,2492.0,1014.0,3432.0,2015.0,2019.0,1011.0,2724.0,3609.0,3811.0,1011.0
48,3000.0,3085.0,3000.0,1655.0,3000.0,2000.0,3000.0,3600.0,4500.0,1800.0,3000.0
48,1000.0,2900.0,1000.0,796.0,1000.0,1000.0,1000.0,2700.0,900.0,2000.0,1000.0
48,3000.0,2000.0,3000.0,3200.0,3600.0,4000.0,-47000.0,1800.0,2700.0,1900.0,3000.0
48,2008.0,2006.0,2017.0,-109018.0,1817.0,1022.0,2010.0,1826.0,2713.0,2014.0,2014.0
49,1000.0,3000.0,1000.0,1764.0,5400.0,1000.0,1000.0,2800.0,1800.0,3000.0,1000.0
49,1000.0,3000.0,1000.0,3600.0,900.0,1000.0,1000.0,3000.0,2700.0,2000.0,1000.0
49,3000.0,2000.0,3000.0,1691.0,1800.0,4000.0,3000.0,3000.0,900.0,3000.0,4000.0
49,2009.0,2007.0,2018.0,1647.0,2720.0,2023.0,2002.0,1029.0,915.0,-64984.0,916.0
50,2000.0,2000.0,2000.0,1970.0,2700.0,1000.0,2000.0,2000.0,-58019.0,2000.0,1800.0
50,0.0,1000.0,1800.0,2831.0,1800.0,0.0,0.0,1000.0,900.0,0.0,3600.0
50,4000.0,4000.0,900.0,1836.0,1800.0,4000.0,4000.0,4000.0,900.0,4000.0,0.0
50,3011.0,3011.0,3621.0,855.0,922.0,-97574.0,3003.0,3031.0,3602.0,3002.0,1818.0
51,2000.0,2000.0,900.0,2705.0,2485.0,2000.0,2000.0,2000.0,900.0,2000.0,900.0
51,1000.0,1000.0,850.0,3983.0,2662.0,1000.0,1000.0,1000.0,863.0,1000.0,2700.0
51,2000.0,2000.0,2401.0,2000.0,1685.0,2000.0,2000.0,2000.0,2438.0,2000.0,5400.0
51,2013.0,2012.0,1956.0,2006.0,2725.0,2001.0,2007.0,2033.0,3760.0,2003.0,920.0
52,1000.0,1000.0,3000.0,1000.0,1800.0,1000.0,1000.0,1000.0,3000.0,1000.0,-79900.0
52,1000.0,1000.0,3000.0,3000.0,2700.0,6000.0,1000.0,1000.0,0.0,6000.0,5400.0
