day	utilization of station 1, averaged over each day
1	0.345
2	0.949
3	0.438
4	0.753
5	0.701
6	0.916
7	0.881
8	0.994
9	0.807
10	0.791
11	0.879
12	0.795
13	0.625
14	0.701
15	0.93
16	1
17	1
18	0.955
19	0.708
20	0.944
21	0.898
22	1
23	1
24	0.7
25	0.551
26	0.674
27	0.239
28	0.516
29	0.965
30	0.978
31	0.708
32	0.695
33	0.953
34	1
35	1
36	1
37	1
38	0.766
39	0
40	0.108
41	0.324
42	0.432
43	0.492
44	1
45	0.614
46	0.687
47	1
48	0.787
49	0.816
50	0.831
51	0.938
52	0.831
53	1
54	0.916
55	1
56	0.636
57	0
58	0.443
59	1
60	0.554
61	0.434
62	0.376
63	0.432
64	0.45
65	0.649
66	0.524
67	0.491
68	0.554
69	0.461
70	0.108
71	0
72	0
73	0.443
74	0.595
75	0.473
76	0.432
77	0.495
78	0.778
79	0.476
80	0.424
81	0.579
82	0.595
83	0.733
84	0.452
85	0.486
86	0.424
87	0.455
88	0.254
89	0.594
90	0.516
91	0.671
92	0.475
93	0.472
94	0.443
95	0.661
96	0.594
97	0.546
98	0.695
99	0.27
100	0.433
101	0.93
102	0.826
103	0.649
104	0.782
105	0.648
106	0.663
107	0.738
108	0.868
109	0.801
110	1
111	1
112	0.802
113	0.757
114	0.971
115	0.734
116	0.784
117	0.879
118	0.899
119	0.869
120	0.667
121	0.351
122	0.486
123	0.549
124	0.996
125	1
126	1
127	1
128	0.653
129	0.499
130	0.925
131	1
132	0.74
133	0.163
134	0.621
135	0.982
136	0.971
137	0.867
138	1
139	1
140	1
141	0.897
142	0.583
143	0.597
144	0.986
145	1
146	1
147	0.949
148	0.654
149	0.962
150	0.675
151	0.603
152	0.273
153	0.431
154	0.523
155	0.917
156	0.988
157	0.744
158	0.835
159	0.567
160	0.438
161	0.494
162	0.194
163	0
164	0.144
165	0.445
166	0.575
167	0.623
168	0.468
169	0.787
170	0.905
171	0.774
172	0.613
173	0.702
174	0.864
175	0.606
176	1
177	1
178	1
179	1
180	0.876
181	1
182	1
183	0.726
184	0.722
185	0.934
186	1
187	1
188	1
189	1
190	1
191	0.895
192	0.429
193	0.521
194	0.133
195	0.59
196	0.86
197	0.701
198	0.647
199	0.734
200	0.831
201	1
202	1
203	1
204	0.813
205	0.755
206	0.921
207	0.751
208	0.76
209	0.728
210	0.853
211	0.765
212	0.737
213	0.945
214	0.882
215	0.934
216	0.878
217	0.719
218	0.907
219	0.743
220	0.667
221	0.893
222	0.838
223	0.764
224	0.805
225	0.952
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	0.888
234	0.982
235	0.988
236	1
237	0.93
238	0.929
239	0.875
240	0.591
241	0.655
242	0.767
243	0.674
244	0.579
245	0.757
246	0.85
247	0.8
248	0.592
249	0.85
250	0.727
251	0.689
252	0.686
253	0.75
254	0.778
255	0.577
256	0.744
257	0.704
258	0.667
259	0.782
260	0.709
261	0.91
262	0.808
263	0.699
264	0.894
265	0.738
266	0.63
267	0.783
268	0.847
269	0.835
270	0.824
271	0.854
272	0.729
273	0.818
274	0.732
275	0.663
276	0.683
277	0.77
278	0.852
279	0.64
280	0.788
281	0.738
282	0.801
283	0.771
284	0.808
285	0.789
286	0.628
287	0.907
288	0.62
289	0.537
290	0.653
291	0.868
292	0.757
293	1
294	0.823
295	0.473
296	0.778
297	0.464
298	0.74
299	0.614
300	0.799
301	0.744
302	0.555
303	0.572
304	0.44
305	0.545
306	0.504
307	0.43
308	0.448
309	0.492
310	0.366
311	0.539
312	0.453
313	0.548
314	0.01
315	0
316	0
317	0
318	0
319	0
320	0
321	0.945
322	0.706
323	0.7
324	0.535
325	0.798
326	0.556
327	0.852
328	0.547
329	0.68
330	0.46
331	0.886
332	0.485
333	0.61
334	0.574
335	0.577
336	0.558
337	0.529
338	0.685
339	0.561
340	0.553
341	0.624
342	0.521
343	0.519
344	0.758
345	0.468
346	0.602
347	0.457
348	0.463
349	0.425
350	0.253
351	0.394
352	0.444
353	0.376
354	0.281
355	0.42
356	0.45
357	0.47
358	0.484
359	0.491
360	0.5
361	0.369
362	0.567
363	0.385
364	0.44
365	0.472
366	0.567
367	0.403
368	0.563
369	0.404
370	0.523
371	0.44
372	0.469
373	0.523
374	0.49
375	0.659
376	0.624
377	0.528
378	0.513
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
