day	daily average number of kits queued for station 3
1	0
2	0.363
3	0.128
4	0
5	0.042
6	0.095
7	0.087
8	0
9	0
10	0.008
11	1.748
12	0.207
13	0.021
14	0.128
15	0.013
16	0.111
17	0.05
18	0
19	0.015
20	0
21	0.006
22	0
23	0.219
24	0.109
25	0.288
26	0.068
27	0.082
28	0.147
29	0.259
30	0.364
31	0.118
32	0.188
33	0.557
34	0.374
35	0.315
36	0.433
37	0
38	0.513
39	0.262
40	0
41	0
42	0
43	0.085
44	0.056
45	0.153
46	0
47	0.103
48	0.495
49	0.119
50	0.019
51	0.32
52	0.086
53	0.393
54	0.004
55	1.437
56	1.225
57	0
58	0.099
59	1.559
60	5.47
61	8.028
62	7.169
63	0.453
64	0.483
65	1.781
66	3.284
67	0.3
68	0.43
69	2.198
70	1.796
71	0
72	0
73	0.229
74	1.521
75	0.359
76	0.006
77	0.019
78	0.215
79	2.009
80	0.046
81	0.119
82	0.672
83	1.47
84	3.712
85	2.159
86	1.968
87	0.558
88	0.73
89	0.212
90	0.6
91	2.256
92	5.384
93	6.155
94	0.881
95	1.357
96	0.99
97	1.42
98	0.474
99	0.114
100	0.133
101	1.072
102	2.922
103	7.516
104	4.412
105	7.532
106	5.217
107	5.76
108	5.72
109	3.85
110	0.02
111	0.171
112	0.201
113	1.031
114	0.358
115	0.649
116	0.19
117	0.25
118	0.123
119	0.369
120	0.374
121	0
122	0.017
123	0
124	0.336
125	0.334
126	0.336
127	0.3
128	0.117
129	0.089
130	0.059
131	0.101
132	0.064
133	0
134	0.274
135	0.365
136	0.476
137	0
138	0
139	0.025
140	0.014
141	0.077
142	0
143	0
144	0
145	0.15
146	0.551
147	0.824
148	0.183
149	0.011
150	1.072
151	0.803
152	0.011
153	0.081
154	0
155	1.179
156	2.7
157	2.058
158	0.531
159	1.828
160	0.002
161	0.039
162	0.035
163	0
164	0
165	0.134
166	0.603
167	0.019
168	0.135
169	1.592
170	0.974
171	2.526
172	0.016
173	0.684
174	1.7
175	1.19
176	2.928
177	2.33
178	4.338
179	14.545
180	6.577
181	1.978
182	2.649
183	0.197
184	0.583
185	0.331
186	0.777
187	0.903
188	1.786
189	4.44
190	7.966
191	10.177
192	7.575
193	0.079
194	0
195	0.193
196	0.305
197	2.046
198	0.412
199	0.334
200	0.786
201	1.282
202	4.979
203	2.978
204	4.77
205	0.576
206	1.105
207	1.06
208	3.451
209	0.173
210	1.853
211	0.171
212	0.174
213	4.406
214	0.558
215	0.779
216	0.483
217	0.148
218	0.066
219	0.843
220	0.207
221	2.998
222	6.445
223	0.781
224	0.422
225	2.164
226	4.436
227	1.508
228	1.324
229	5.299
230	10.406
231	11.089
232	10.456
233	7.114
234	9.342
235	17.548
236	16.273
237	21.549
238	23.121
239	22.803
240	18.62
241	15.591
242	16.141
243	14.157
244	9.86
245	11.946
246	8.051
247	7.051
248	6.412
249	12.178
250	23.315
251	19.841
252	23.005
253	23.367
254	16.475
255	15.915
256	14.02
257	18.552
258	17.107
259	16.554
260	4.7
261	0.755
262	2.876
263	3.687
264	8.508
265	10.804
266	16.981
267	8.241
268	1.57
269	2.814
270	8.984
271	10.25
272	9.875
273	12.404
274	16.947
275	16.541
276	18.373
277	18.649
278	15.702
279	18.59
280	19.098
281	19.069
282	17.211
283	18.565
284	15.509
285	15.063
286	21.647
287	13.082
288	19.742
289	20.123
290	18.518
291	12.368
292	7.855
293	3.275
294	7.932
295	16.714
296	13.898
297	9.702
298	2.827
299	0.545
300	0.153
301	2.404
302	2.309
303	0.401
304	1.127
305	0.973
306	0.715
307	0.055
308	0.225
309	0.531
310	1.937
311	0.042
312	0.413
313	0.272
314	0.382
315	0
316	0
317	0
318	0
319	0
320	0
321	4.814
322	18.992
323	17.534
324	22.12
325	16.83
326	22.449
327	14.463
328	16.747
329	19.591
330	14.161
331	7.81
332	5.341
333	1.694
334	0.752
335	1.362
336	0.797
337	0.196
338	0.494
339	0.599
340	3.239
341	1.979
342	1.888
343	0.303
344	0.559
345	0.256
346	1.098
347	1.235
348	0
349	0.013
350	0.041
351	0.227
352	0.319
353	0.039
354	0.041
355	0.199
356	0.79
357	0.021
358	0.584
359	0.652
360	1.711
361	0.291
362	0.066
363	0.502
364	0.319
365	0.042
366	0.555
367	0.273
368	0.009
369	0.599
370	0.135
371	0.471
372	0.231
373	0.347
374	1.591
375	3.951
376	11.255
377	11.669
378	3.279
379	0.016
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
