day	utilization of station 3, averaged over each day
1	0.062
2	0.64
3	0.386
4	0.391
5	0.464
6	0.392
7	0.527
8	0.139
9	0.391
10	0.41
11	1
12	0.565
13	0.34
14	0.566
15	0.499
16	0.684
17	0.453
18	0.467
19	0.45
20	0.259
21	0.497
22	0.292
23	0.617
24	0.583
25	0.732
26	0.334
27	0.456
28	0.363
29	0.852
30	0.662
31	0.432
32	0.624
33	0.689
34	0.587
35	0.698
36	0.846
37	0.315
38	0.953
39	0.643
40	0.276
41	0.061
42	0.23
43	0.468
44	0.585
45	0.637
46	0.326
47	0.637
48	0.513
49	0.688
50	0.461
51	0.775
52	0.407
53	0.757
54	0.522
55	0.819
56	0.955
57	0.047
58	0.21
59	0.992
60	1
61	1
62	1
63	0.548
64	0.725
65	1
66	1
67	0.717
68	0.589
69	0.89
70	0.712
71	0
72	0
73	0.226
74	0.732
75	0.668
76	0.516
77	0.368
78	0.559
79	0.977
80	0.598
81	0.611
82	0.787
83	1
84	1
85	1
86	0.829
87	0.826
88	0.56
89	0.466
90	0.799
91	1
92	1
93	1
94	0.797
95	0.855
96	0.729
97	1
98	0.634
99	0.498
100	0.47
101	0.771
102	0.843
103	1
104	1
105	1
106	1
107	1
108	1
109	0.811
110	0.658
111	0.496
112	0.545
113	0.785
114	0.638
115	0.466
116	0.616
117	0.666
118	0.565
119	0.637
120	0.705
121	0.221
122	0.516
123	0.259
124	0.716
125	0.766
126	0.796
127	0.69
128	0.477
129	0.428
130	0.658
131	0.621
132	0.507
133	0.188
134	0.407
135	0.763
136	0.749
137	0.518
138	0.503
139	0.523
140	0.514
141	0.597
142	0.43
143	0.324
144	0.551
145	0.627
146	0.596
147	0.859
148	0.519
149	0.395
150	0.622
151	0.675
152	0.246
153	0.625
154	0.341
155	0.895
156	0.859
157	0.923
158	0.759
159	0.761
160	0.341
161	0.462
162	0.364
163	0
164	0.231
165	0.234
166	0.735
167	0.383
168	0.408
169	0.904
170	0.815
171	0.915
172	0.503
173	0.692
174	0.85
175	0.78
176	0.993
177	0.958
178	0.845
179	1
180	1
181	0.983
182	0.969
183	0.638
184	0.744
185	0.731
186	0.901
187	0.919
188	0.997
189	1
190	1
191	1
192	0.872
193	0.484
194	0.195
195	0.529
196	0.677
197	0.898
198	0.731
199	0.678
200	0.858
201	0.911
202	1
203	0.923
204	1
205	0.796
206	0.825
207	0.91
208	0.95
209	0.703
210	0.953
211	0.541
212	0.435
213	1
214	0.849
215	0.76
216	0.675
217	0.637
218	0.679
219	0.937
220	0.732
221	1
222	1
223	0.666
224	0.703
225	0.918
226	1
227	0.685
228	0.85
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	1
246	1
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	1
255	1
256	1
257	1
258	1
259	1
260	1
261	0.75
262	0.96
263	1
264	1
265	1
266	1
267	1
268	0.896
269	0.993
270	0.996
271	1
272	1
273	1
274	1
275	1
276	1
277	1
278	1
279	1
280	1
281	1
282	1
283	1
284	1
285	1
286	1
287	1
288	1
289	1
290	1
291	1
292	1
293	1
294	1
295	1
296	1
297	1
298	1
299	0.706
300	0.677
301	0.941
302	0.905
303	0.867
304	0.879
305	0.776
306	0.713
307	0.576
308	0.592
309	0.882
310	0.933
311	0.388
312	0.63
313	0.565
314	0.253
315	0
316	0
317	0
318	0
319	0
320	0
321	0.691
322	1
323	1
324	1
325	1
326	1
327	1
328	1
329	1
330	1
331	1
332	0.868
333	0.771
334	0.887
335	0.798
336	0.741
337	0.644
338	0.829
339	0.707
340	0.981
341	1
342	0.839
343	0.596
344	0.815
345	0.542
346	0.856
347	0.912
348	0.443
349	0.386
350	0.273
351	0.674
352	0.487
353	0.337
354	0.568
355	0.569
356	0.671
357	0.531
358	0.666
359	0.659
360	0.898
361	0.64
362	0.511
363	0.702
364	0.619
365	0.575
366	0.809
367	0.569
368	0.405
369	0.694
370	0.647
371	0.646
372	0.728
373	0.726
374	0.758
375	0.978
376	1
377	1
378	0.989
379	0.052
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
